snp & chr & pos & maf & Z.tg & Z.tc & Z.ldl & Z.hdl & lbfav
rs12739698 & 1 & 27102620 & 0.083 & 3.3 & 3.4 & 4.6 & -5.1 & 7.2
rs267733 & 1 & 149225460 & 0.141 & -1 & 3.5 & 5.4 & -1.9 & 4.7
rs10490632 & 2 & 118295555 & 0.082 & 0.8 & 4.7 & 5.4 & -2 & 5.1
rs13326165 & 3 & 52507158 & 0.207 & -4.4 & -1.4 & -2.1 & 5 & 4.7
rs762861 & 4 & 3411809 & 0.261 & 4.5 & 4.9 & 4.4 & -2.1 & 5.2
rs2746150 & 6 & 29550680 & 0.089 & -3.8 & -2.9 & -1 & -2.9 & 5.3
rs998584 & 6 & 43865874 & 0.491 & 5.1 & 0.3 & 0 & -4.3 & 4.5
rs6951245 & 7 & 1024719 & 0.156 & 2 & 5.4 & 3.6 & 3.3 & 5.4
rs4722551 & 7 & 25958351 & 0.177 & 3.9 & -3.8 & -4.9 & -1.3 & 7.5
rs17134533 & 10 & 5237098 & 0.146 & -4.9 & -3.2 & -1.2 & -1.8 & 6
rs10904908 & 10 & 17300296 & 0.432 & -1.6 & -4.9 & -3.4 & -3.6 & 4.6
rs970548 & 10 & 45333283 & 0.246 & 0 & -3.8 & -2.1 & -5.2 & 5.4
rs1408579 & 10 & 101902184 & 0.47 & 2.6 & 3.2 & 0.8 & 3.9 & 4.8
rs11246602 & 11 & 51368666 & 0.126 & -0.2 & -2.5 & -0.7 & -5.4 & 5.3
rs11229252 & 11 & 54886216 & 0.091 & 0.5 & 3.4 & 1.5 & 5 & 4.9
rs11227638 & 11 & 55776161 & 0.118 & -0.6 & -2.3 & -0.4 & -5 & 4.8
rs499974 & 11 & 75132669 & 0.175 & -2.1 & -2.4 & 0.3 & -4.1 & 4.5
rs4942505 & 13 & 31861707 & 0.476 & -1.3 & -4.5 & -5.3 & 3.1 & 5.8
rs10422101 & 19 & 57011927 & 0.265 & 1 & -3.6 & -2.4 & -5.4 & 5.6
